Time resolution is 1 ps
a= 01, b = a5, sum= a6
a= 5e, b = a5, sum= 03

a= 5f, b = a5, sum= 04

a= 60, b = a5, sum= 05

a= 61, b = a5, sum= 06

a= 62, b = a5, sum= 07

a= 63, b = a5, sum= 08

a= 64, b = a5, sum= 09

a= 65, b = a5, sum= 0a

a= 66, b = a5, sum= 0b

a= 67, b = a5, sum= 0c

a= 68, b = a5, sum= 0d

a= 69, b = a5, sum= 0e

a= 6a, b = a5, sum= 0f

a= 6b, b = a5, sum= 10

a= 6c, b = a5, sum= 11

a= 6d, b = a5, sum= 12

a= 6e, b = a5, sum= 13

a= 6f, b = a5, sum= 14

a= 70, b = a5, sum= 15

a= 71, b = a5, sum= 16

a= 72, b = a5, sum= 17

a= 73, b = a5, sum= 18

a= 74, b = a5, sum= 19

a= 75, b = a5, sum= 1a

a= 76, b = a5, sum= 1b

a= 77, b = a5, sum= 1c

a= 78, b = a5, sum= 1d

a= 79, b = a5, sum= 1e

a= 7a, b = a5, sum= 1f

a= 7b, b = a5, sum= 20

a= 7c, b = a5, sum= 21

a= 7d, b = a5, sum= 22

a= 7e, b = a5, sum= 23

a= 7f, b = a5, sum= 24

a= 80, b = a5, sum= 25

a= 81, b = a5, sum= 26

a= 82, b = a5, sum= 27

a= 83, b = a5, sum= 28

a= 84, b = a5, sum= 29

a= 85, b = a5, sum= 2a

a= 86, b = a5, sum= 2b

a= 87, b = a5, sum= 2c

a= 88, b = a5, sum= 2d

a= 89, b = a5, sum= 2e

a= 8a, b = a5, sum= 2f

a= 8b, b = a5, sum= 30

a= 8c, b = a5, sum= 31

a= 8d, b = a5, sum= 32

a= 8e, b = a5, sum= 33

a= 8f, b = a5, sum= 34

a= 90, b = a5, sum= 35

a= 91, b = a5, sum= 36

a= 92, b = a5, sum= 37

a= 93, b = a5, sum= 38

a= 94, b = a5, sum= 39

a= 95, b = a5, sum= 3a

a= 96, b = a5, sum= 3b

a= 97, b = a5, sum= 3c

a= 98, b = a5, sum= 3d

a= 99, b = a5, sum= 3e

a= 9a, b = a5, sum= 3f

a= 9b, b = a5, sum= 40

a= 9c, b = a5, sum= 41

a= 9d, b = a5, sum= 42

a= 9e, b = a5, sum= 43

a= 9f, b = a5, sum= 44

a= a0, b = a5, sum= 45

a= a1, b = a5, sum= 46

a= a2, b = a5, sum= 47

a= a3, b = a5, sum= 48

a= a4, b = a5, sum= 49

a= a5, b = a5, sum= 4a

a= a6, b = a5, sum= 4b

a= a7, b = a5, sum= 4c

a= a8, b = a5, sum= 4d

a= a9, b = a5, sum= 4e

a= aa, b = a5, sum= 4f

a= ab, b = a5, sum= 50

a= ac, b = a5, sum= 51

a= ad, b = a5, sum= 52

a= ae, b = a5, sum= 53

a= af, b = a5, sum= 54

a= b0, b = a5, sum= 55

a= b1, b = a5, sum= 56

a= b2, b = a5, sum= 57

a= b3, b = a5, sum= 58

a= b4, b = a5, sum= 59

a= b5, b = a5, sum= 5a

a= b6, b = a5, sum= 5b

a= b7, b = a5, sum= 5c

a= b8, b = a5, sum= 5d

a= b9, b = a5, sum= 5e

a= ba, b = a5, sum= 5f

a= bb, b = a5, sum= 60

a= bc, b = a5, sum= 61

a= bd, b = a5, sum= 62

a= be, b = a5, sum= 63

a= bf, b = a5, sum= 64

a= c0, b = a5, sum= 65

a= c1, b = a5, sum= 66

a= c2, b = a5, sum= 67

a= c3, b = a5, sum= 68

a= c4, b = a5, sum= 69

a= c5, b = a5, sum= 6a

a= c6, b = a5, sum= 6b

a= c7, b = a5, sum= 6c

a= c8, b = a5, sum= 6d

a= c9, b = a5, sum= 6e

a= ca, b = a5, sum= 6f

a= cb, b = a5, sum= 70

a= cc, b = a5, sum= 71

a= cd, b = a5, sum= 72

a= ce, b = a5, sum= 73

a= cf, b = a5, sum= 74

a= d0, b = a5, sum= 75

a= d1, b = a5, sum= 76

a= d2, b = a5, sum= 77

a= d3, b = a5, sum= 78

a= d4, b = a5, sum= 79

a= d5, b = a5, sum= 7a

a= d6, b = a5, sum= 7b

a= d7, b = a5, sum= 7c

a= d8, b = a5, sum= 7d

a= d9, b = a5, sum= 7e

a= da, b = a5, sum= 7f

a= db, b = a5, sum= 80

a= dc, b = a5, sum= 81

a= dd, b = a5, sum= 82

a= de, b = a5, sum= 83

a= df, b = a5, sum= 84

a= e0, b = a5, sum= 85

a= e1, b = a5, sum= 86

a= e2, b = a5, sum= 87

a= e3, b = a5, sum= 88

a= e4, b = a5, sum= 89

a= e5, b = a5, sum= 8a

a= e6, b = a5, sum= 8b

a= e7, b = a5, sum= 8c

a= e8, b = a5, sum= 8d

a= e9, b = a5, sum= 8e

a= ea, b = a5, sum= 8f

a= eb, b = a5, sum= 90

a= ec, b = a5, sum= 91

a= ed, b = a5, sum= 92

a= ee, b = a5, sum= 93

a= ef, b = a5, sum= 94

a= f0, b = a5, sum= 95

a= f1, b = a5, sum= 96

a= f2, b = a5, sum= 97

a= f3, b = a5, sum= 98

a= f4, b = a5, sum= 99

a= f5, b = a5, sum= 9a

a= f6, b = a5, sum= 9b

a= f7, b = a5, sum= 9c

a= f8, b = a5, sum= 9d

a= f9, b = a5, sum= 9e

a= fa, b = a5, sum= 9f

a= fb, b = a5, sum= a0

a= fc, b = a5, sum= a1

a= fd, b = a5, sum= a2

a= fe, b = a5, sum= a3

a= ff, b = a5, sum= a4

